ts,open,high,low,close,volume,close_time,confirm
2026-03-21 20:00:00+00:00,111.71,112.07,107.56,108.27,326159.7,2026-03-21 23:59:59.999000+00:00,1
2026-03-22 00:00:00+00:00,108.26,109.92,106.73,109.16,506862.2,2026-03-22 03:59:59.999000+00:00,1
2026-03-22 04:00:00+00:00,109.16,110.06,108.12,108.15,205323.2,2026-03-22 07:59:59.999000+00:00,1
2026-03-22 08:00:00+00:00,108.16,108.53,106.62,106.68,247899.7,2026-03-22 11:59:59.999000+00:00,1
2026-03-22 12:00:00+00:00,106.68,107.69,106.61,107.3,215276.1,2026-03-22 15:59:59.999000+00:00,1
2026-03-22 16:00:00+00:00,107.3,107.4,105.69,106.26,186751.6,2026-03-22 19:59:59.999000+00:00,1
2026-03-22 20:00:00+00:00,106.26,107.22,104.87,106.25,252977.8,2026-03-22 23:59:59.999000+00:00,1
2026-03-23 00:00:00+00:00,106.24,108.1,105.65,107.1,228901.9,2026-03-23 03:59:59.999000+00:00,1
2026-03-23 04:00:00+00:00,107.1,108.17,104.88,105.64,329537.8,2026-03-23 07:59:59.999000+00:00,1
2026-03-23 08:00:00+00:00,105.65,112.14,104.55,109.23,1362473.6,2026-03-23 11:59:59.999000+00:00,1
2026-03-23 12:00:00+00:00,109.24,111.95,108.47,109.45,519607.8,2026-03-23 15:59:59.999000+00:00,1
2026-03-23 16:00:00+00:00,109.45,111.44,108.95,110.06,260421.4,2026-03-23 19:59:59.999000+00:00,1
2026-03-23 20:00:00+00:00,110.05,110.61,109.42,110.23,128962.1,2026-03-23 23:59:59.999000+00:00,1
2026-03-24 00:00:00+00:00,110.23,110.55,108.85,110.17,216144.1,2026-03-24 03:59:59.999000+00:00,1
2026-03-24 04:00:00+00:00,110.17,110.65,108.76,110.37,239136.3,2026-03-24 07:59:59.999000+00:00,1
2026-03-24 08:00:00+00:00,110.37,110.98,109.85,110.63,271509.2,2026-03-24 11:59:59.999000+00:00,1
2026-03-24 12:00:00+00:00,110.62,110.94,107.9,109.36,432079.5,2026-03-24 15:59:59.999000+00:00,1
2026-03-24 16:00:00+00:00,109.35,109.86,107.86,108.91,212633.6,2026-03-24 19:59:59.999000+00:00,1
2026-03-24 20:00:00+00:00,108.91,112.44,108.89,112.23,371864.4,2026-03-24 23:59:59.999000+00:00,1
2026-03-25 00:00:00+00:00,112.23,113.32,111.21,111.89,276467.3,2026-03-25 03:59:59.999000+00:00,1
2026-03-25 04:00:00+00:00,111.9,113.22,111.68,112.59,234277.6,2026-03-25 07:59:59.999000+00:00,1
2026-03-25 08:00:00+00:00,112.6,115.8,112.6,115.33,412322.4,2026-03-25 11:59:59.999000+00:00,1
2026-03-25 12:00:00+00:00,115.32,116.45,113.31,114.74,603822.3,2026-03-25 15:59:59.999000+00:00,1
2026-03-25 16:00:00+00:00,114.74,115.92,112.13,112.32,689566.8,2026-03-25 19:59:59.999000+00:00,1
2026-03-25 20:00:00+00:00,112.32,113.37,111.58,112.54,244325.7,2026-03-25 23:59:59.999000+00:00,1
2026-03-26 00:00:00+00:00,112.54,112.76,110.32,110.69,286972.9,2026-03-26 03:59:59.999000+00:00,1
2026-03-26 04:00:00+00:00,110.7,110.7,107.65,108.08,405205.5,2026-03-26 07:59:59.999000+00:00,1
2026-03-26 08:00:00+00:00,108.07,108.32,106.16,106.55,528482.6,2026-03-26 11:59:59.999000+00:00,1
2026-03-26 12:00:00+00:00,106.56,107.51,105.16,105.5,731299.6,2026-03-26 15:59:59.999000+00:00,1
2026-03-26 16:00:00+00:00,105.49,105.73,104.09,104.16,542075.9,2026-03-26 19:59:59.999000+00:00,1
2026-03-26 20:00:00+00:00,104.16,106.27,103.92,105.14,461710.9,2026-03-26 23:59:59.999000+00:00,1
2026-03-27 00:00:00+00:00,105.14,106.7,105.03,105.98,193616.7,2026-03-27 03:59:59.999000+00:00,1
2026-03-27 04:00:00+00:00,105.99,106.26,105.15,106.18,235524.9,2026-03-27 07:59:59.999000+00:00,1
2026-03-27 08:00:00+00:00,106.19,106.5,101.16,101.28,705310.6,2026-03-27 11:59:59.999000+00:00,1
2026-03-27 12:00:00+00:00,101.28,101.77,99.88,100.53,533114.3,2026-03-27 15:59:59.999000+00:00,1
2026-03-27 16:00:00+00:00,100.52,100.79,97.6,98.67,550902.0,2026-03-27 19:59:59.999000+00:00,1
2026-03-27 20:00:00+00:00,98.67,99.05,97.69,98.62,245878.8,2026-03-27 23:59:59.999000+00:00,1
