ts,open,high,low,close,volume,close_time,confirm
2026-03-22 20:00:00+00:00,4.34,4.378,4.265,4.345,196507.0,2026-03-22 23:59:59.999000+00:00,1
2026-03-23 00:00:00+00:00,4.345,4.444,4.337,4.384,235423.0,2026-03-23 03:59:59.999000+00:00,1
2026-03-23 04:00:00+00:00,4.385,4.431,4.326,4.356,99761.0,2026-03-23 07:59:59.999000+00:00,1
2026-03-23 08:00:00+00:00,4.355,4.532,4.314,4.486,539091.0,2026-03-23 11:59:59.999000+00:00,1
2026-03-23 12:00:00+00:00,4.489,4.576,4.461,4.493,182955.0,2026-03-23 15:59:59.999000+00:00,1
2026-03-23 16:00:00+00:00,4.494,4.507,4.448,4.452,163577.0,2026-03-23 19:59:59.999000+00:00,1
2026-03-23 20:00:00+00:00,4.449,4.524,4.437,4.467,98963.0,2026-03-23 23:59:59.999000+00:00,1
2026-03-24 00:00:00+00:00,4.469,4.483,4.413,4.445,116118.0,2026-03-24 03:59:59.999000+00:00,1
2026-03-24 04:00:00+00:00,4.443,4.483,4.411,4.478,69707.0,2026-03-24 07:59:59.999000+00:00,1
2026-03-24 08:00:00+00:00,4.478,4.486,4.439,4.451,86253.0,2026-03-24 11:59:59.999000+00:00,1
2026-03-24 12:00:00+00:00,4.453,4.453,4.356,4.4,120540.0,2026-03-24 15:59:59.999000+00:00,1
2026-03-24 16:00:00+00:00,4.399,4.408,4.345,4.401,101947.0,2026-03-24 19:59:59.999000+00:00,1
2026-03-24 20:00:00+00:00,4.401,4.474,4.394,4.456,140317.0,2026-03-24 23:59:59.999000+00:00,1
2026-03-25 00:00:00+00:00,4.456,4.474,4.422,4.432,56853.0,2026-03-25 03:59:59.999000+00:00,1
2026-03-25 04:00:00+00:00,4.432,4.432,4.36,4.385,172528.0,2026-03-25 07:59:59.999000+00:00,1
2026-03-25 08:00:00+00:00,4.392,4.448,4.39,4.442,120364.0,2026-03-25 11:59:59.999000+00:00,1
2026-03-25 12:00:00+00:00,4.443,4.48,4.403,4.412,143242.0,2026-03-25 15:59:59.999000+00:00,1
2026-03-25 16:00:00+00:00,4.41,4.458,4.4,4.438,181129.0,2026-03-25 19:59:59.999000+00:00,1
2026-03-25 20:00:00+00:00,4.44,4.441,4.37,4.4,137795.0,2026-03-25 23:59:59.999000+00:00,1
2026-03-26 00:00:00+00:00,4.403,4.412,4.349,4.361,123430.0,2026-03-26 03:59:59.999000+00:00,1
2026-03-26 04:00:00+00:00,4.361,4.361,4.302,4.338,160652.0,2026-03-26 07:59:59.999000+00:00,1
