ts,open,high,low,close,volume,close_time,confirm
2026-03-26 04:00:00+00:00,0.269,0.2697,0.2598,0.2637,1053130.0,2026-03-26 07:59:59.999000+00:00,1
2026-03-26 08:00:00+00:00,0.2637,0.2639,0.2549,0.2552,735209.0,2026-03-26 11:59:59.999000+00:00,1
2026-03-26 12:00:00+00:00,0.2552,0.2653,0.2539,0.2629,1240380.0,2026-03-26 15:59:59.999000+00:00,1
2026-03-26 16:00:00+00:00,0.2628,0.2644,0.2577,0.2585,1075577.0,2026-03-26 19:59:59.999000+00:00,1
2026-03-26 20:00:00+00:00,0.2585,0.2703,0.2578,0.269,947954.0,2026-03-26 23:59:59.999000+00:00,1
2026-03-27 00:00:00+00:00,0.269,0.2887,0.2686,0.2799,5311991.0,2026-03-27 03:59:59.999000+00:00,1
2026-03-27 04:00:00+00:00,0.28,0.2912,0.2767,0.2807,7244531.0,2026-03-27 07:59:59.999000+00:00,1
2026-03-27 08:00:00+00:00,0.2807,0.2816,0.2662,0.2667,4061830.0,2026-03-27 11:59:59.999000+00:00,1
2026-03-27 12:00:00+00:00,0.2667,0.2671,0.2597,0.266,2655422.0,2026-03-27 15:59:59.999000+00:00,1
2026-03-27 16:00:00+00:00,0.266,0.2711,0.2613,0.27,1582080.0,2026-03-27 19:59:59.999000+00:00,1
2026-03-27 20:00:00+00:00,0.27,0.2743,0.2675,0.2685,902446.0,2026-03-27 23:59:59.999000+00:00,1
2026-03-28 00:00:00+00:00,0.2686,0.2715,0.2599,0.2639,1464488.0,2026-03-28 03:59:59.999000+00:00,1
2026-03-28 04:00:00+00:00,0.2638,0.2667,0.2605,0.2646,1081205.0,2026-03-28 07:59:59.999000+00:00,1
2026-03-28 08:00:00+00:00,0.2647,0.2684,0.2623,0.268,723689.0,2026-03-28 11:59:59.999000+00:00,1
2026-03-28 12:00:00+00:00,0.2681,0.2791,0.2656,0.2766,1650425.0,2026-03-28 15:59:59.999000+00:00,1
2026-03-28 16:00:00+00:00,0.2767,0.2778,0.2725,0.2746,502486.0,2026-03-28 19:59:59.999000+00:00,1
2026-03-28 20:00:00+00:00,0.2746,0.2771,0.2669,0.2684,581096.0,2026-03-28 23:59:59.999000+00:00,1
2026-03-29 00:00:00+00:00,0.2684,0.2716,0.2667,0.2709,718100.0,2026-03-29 03:59:59.999000+00:00,1
2026-03-29 04:00:00+00:00,0.2709,0.2714,0.2676,0.2681,462051.0,2026-03-29 07:59:59.999000+00:00,1
2026-03-29 08:00:00+00:00,0.2681,0.2698,0.2652,0.2676,704730.0,2026-03-29 11:59:59.999000+00:00,1
2026-03-29 12:00:00+00:00,0.2675,0.2677,0.2618,0.2624,886107.0,2026-03-29 15:59:59.999000+00:00,1
2026-03-29 16:00:00+00:00,0.2624,0.2634,0.2584,0.2587,615523.0,2026-03-29 19:59:59.999000+00:00,1
2026-03-29 20:00:00+00:00,0.2586,0.2611,0.2512,0.2575,1235672.0,2026-03-29 23:59:59.999000+00:00,1
2026-03-30 00:00:00+00:00,0.2575,0.2711,0.257,0.2689,1081739.0,2026-03-30 03:59:59.999000+00:00,1
2026-03-30 04:00:00+00:00,0.269,0.2715,0.2666,0.2703,657122.0,2026-03-30 07:59:59.999000+00:00,1
2026-03-30 08:00:00+00:00,0.2704,0.2725,0.2661,0.2679,648053.0,2026-03-30 11:59:59.999000+00:00,1
2026-03-30 12:00:00+00:00,0.2679,0.2719,0.2639,0.2702,554714.0,2026-03-30 15:59:59.999000+00:00,1
2026-03-30 16:00:00+00:00,0.2703,0.2713,0.2612,0.2628,440268.0,2026-03-30 19:59:59.999000+00:00,1
