ts,open,high,low,close,volume,close_time,confirm
2026-03-22 08:00:00+00:00,0.3001,0.3012,0.2949,0.2951,1242559.0,2026-03-22 11:59:59.999000+00:00,1
2026-03-22 12:00:00+00:00,0.2951,0.2986,0.295,0.2963,779735.0,2026-03-22 15:59:59.999000+00:00,1
2026-03-22 16:00:00+00:00,0.2963,0.2966,0.2876,0.2897,1848076.0,2026-03-22 19:59:59.999000+00:00,1
2026-03-22 20:00:00+00:00,0.2898,0.2917,0.2829,0.285,1720132.0,2026-03-22 23:59:59.999000+00:00,1
2026-03-23 00:00:00+00:00,0.285,0.2899,0.2844,0.2848,1886838.0,2026-03-23 03:59:59.999000+00:00,1
2026-03-23 04:00:00+00:00,0.2849,0.2868,0.2829,0.2857,1559221.0,2026-03-23 07:59:59.999000+00:00,1
2026-03-23 08:00:00+00:00,0.2857,0.3015,0.284,0.299,4753563.0,2026-03-23 11:59:59.999000+00:00,1
2026-03-23 12:00:00+00:00,0.2989,0.3016,0.2939,0.2941,1728836.0,2026-03-23 15:59:59.999000+00:00,1
2026-03-23 16:00:00+00:00,0.2941,0.303,0.2923,0.3021,1421309.0,2026-03-23 19:59:59.999000+00:00,1
2026-03-23 20:00:00+00:00,0.3021,0.3041,0.2982,0.3027,1106414.0,2026-03-23 23:59:59.999000+00:00,1
2026-03-24 00:00:00+00:00,0.3026,0.3057,0.2965,0.3006,2178123.0,2026-03-24 03:59:59.999000+00:00,1
2026-03-24 04:00:00+00:00,0.3007,0.3029,0.2984,0.3025,1386406.0,2026-03-24 07:59:59.999000+00:00,1
2026-03-24 08:00:00+00:00,0.3027,0.3027,0.2966,0.2997,1907772.0,2026-03-24 11:59:59.999000+00:00,1
2026-03-24 12:00:00+00:00,0.2998,0.3003,0.2948,0.2969,1434365.0,2026-03-24 15:59:59.999000+00:00,1
2026-03-24 16:00:00+00:00,0.2968,0.2981,0.2924,0.2966,1432901.0,2026-03-24 19:59:59.999000+00:00,1
2026-03-24 20:00:00+00:00,0.2966,0.3027,0.2965,0.2994,820681.0,2026-03-24 23:59:59.999000+00:00,1
2026-03-25 00:00:00+00:00,0.2994,0.303,0.2982,0.3022,1321631.0,2026-03-25 03:59:59.999000+00:00,1
2026-03-25 04:00:00+00:00,0.3019,0.3037,0.2984,0.3,1258136.0,2026-03-25 07:59:59.999000+00:00,1
2026-03-25 08:00:00+00:00,0.3,0.3018,0.2983,0.2997,970698.0,2026-03-25 11:59:59.999000+00:00,1
2026-03-25 12:00:00+00:00,0.2998,0.3019,0.2984,0.3008,1463483.0,2026-03-25 15:59:59.999000+00:00,1
2026-03-25 16:00:00+00:00,0.3007,0.3024,0.2987,0.2997,1511832.0,2026-03-25 19:59:59.999000+00:00,1
2026-03-25 20:00:00+00:00,0.2998,0.3017,0.2968,0.2996,1016985.0,2026-03-25 23:59:59.999000+00:00,1
2026-03-26 00:00:00+00:00,0.2995,0.302,0.2947,0.2957,1576174.0,2026-03-26 03:59:59.999000+00:00,1
2026-03-26 04:00:00+00:00,0.2956,0.2962,0.2924,0.2929,1319967.0,2026-03-26 07:59:59.999000+00:00,1
2026-03-26 08:00:00+00:00,0.2928,0.2969,0.2896,0.2904,2162764.0,2026-03-26 11:59:59.999000+00:00,1
2026-03-26 12:00:00+00:00,0.2904,0.2926,0.2881,0.2895,1787379.0,2026-03-26 15:59:59.999000+00:00,1
2026-03-26 16:00:00+00:00,0.2895,0.2896,0.2841,0.2853,1435308.0,2026-03-26 19:59:59.999000+00:00,1
2026-03-26 20:00:00+00:00,0.2854,0.2903,0.2842,0.2856,2228223.0,2026-03-26 23:59:59.999000+00:00,1
2026-03-27 00:00:00+00:00,0.2855,0.2911,0.2854,0.2905,1201215.0,2026-03-27 03:59:59.999000+00:00,1
2026-03-27 04:00:00+00:00,0.2904,0.2949,0.2879,0.2931,2382925.0,2026-03-27 07:59:59.999000+00:00,1
2026-03-27 08:00:00+00:00,0.2931,0.2951,0.2821,0.2835,2501984.0,2026-03-27 11:59:59.999000+00:00,1
2026-03-27 12:00:00+00:00,0.2836,0.2836,0.2771,0.2807,2787127.0,2026-03-27 15:59:59.999000+00:00,1
2026-03-27 16:00:00+00:00,0.2806,0.2807,0.274,0.2778,1757761.0,2026-03-27 19:59:59.999000+00:00,1
2026-03-27 20:00:00+00:00,0.2777,0.279,0.2748,0.2764,881941.0,2026-03-27 23:59:59.999000+00:00,1
2026-03-28 00:00:00+00:00,0.2765,0.2775,0.2726,0.276,2010035.0,2026-03-28 03:59:59.999000+00:00,1
2026-03-28 04:00:00+00:00,0.276,0.2804,0.2759,0.2804,1222233.0,2026-03-28 07:59:59.999000+00:00,1
2026-03-28 08:00:00+00:00,0.2804,0.2818,0.2785,0.2799,650878.0,2026-03-28 11:59:59.999000+00:00,1
2026-03-28 12:00:00+00:00,0.2799,0.287,0.2797,0.2817,1809917.0,2026-03-28 15:59:59.999000+00:00,1
2026-03-28 16:00:00+00:00,0.2818,0.2824,0.2805,0.2813,912179.0,2026-03-28 19:59:59.999000+00:00,1
2026-03-28 20:00:00+00:00,0.2814,0.283,0.2753,0.2762,1147009.0,2026-03-28 23:59:59.999000+00:00,1
2026-03-29 00:00:00+00:00,0.2761,0.2787,0.2753,0.2769,1225806.0,2026-03-29 03:59:59.999000+00:00,1
2026-03-29 04:00:00+00:00,0.2768,0.2778,0.2757,0.2761,1015869.0,2026-03-29 07:59:59.999000+00:00,1
2026-03-29 08:00:00+00:00,0.276,0.2774,0.2735,0.2761,1064333.0,2026-03-29 11:59:59.999000+00:00,1
2026-03-29 12:00:00+00:00,0.276,0.2803,0.2729,0.2788,2450744.0,2026-03-29 15:59:59.999000+00:00,1
2026-03-29 16:00:00+00:00,0.2788,0.2788,0.2749,0.2762,1643353.0,2026-03-29 19:59:59.999000+00:00,1
2026-03-29 20:00:00+00:00,0.2762,0.2785,0.2681,0.274,2157691.0,2026-03-29 23:59:59.999000+00:00,1
2026-03-30 00:00:00+00:00,0.2741,0.2809,0.2735,0.2793,1773241.0,2026-03-30 03:59:59.999000+00:00,1
2026-03-30 04:00:00+00:00,0.2793,0.281,0.2768,0.2801,1463682.0,2026-03-30 07:59:59.999000+00:00,1
2026-03-30 08:00:00+00:00,0.2801,0.2845,0.279,0.2825,2257447.0,2026-03-30 11:59:59.999000+00:00,1
2026-03-30 12:00:00+00:00,0.2826,0.2844,0.2782,0.2809,1569331.0,2026-03-30 15:59:59.999000+00:00,1
2026-03-30 16:00:00+00:00,0.2808,0.2825,0.2747,0.2764,1864037.0,2026-03-30 19:59:59.999000+00:00,1
2026-03-30 20:00:00+00:00,0.2764,0.2786,0.2736,0.2756,2255595.0,2026-03-30 23:59:59.999000+00:00,1
2026-03-31 00:00:00+00:00,0.2756,0.2818,0.2753,0.2767,1955878.0,2026-03-31 03:59:59.999000+00:00,1
2026-03-31 04:00:00+00:00,0.2767,0.2799,0.2765,0.2789,1960227.0,2026-03-31 07:59:59.999000+00:00,1
